hex_id,h3_index,source_county
542,894898d86cbffff,Travis
543,894898d86cfffff,Travis
544,894898d86d3ffff,Travis
545,894898d86d7ffff,Travis
546,894898d86dbffff,Travis
547,894898d9003ffff,Travis
548,894898d9007ffff,Travis
549,894898d900bffff,Travis
550,894898d900fffff,Travis
551,894898d9013ffff,Travis
552,894898d9017ffff,Travis
553,894898d901bffff,Travis
554,894898d9023ffff,Travis
555,894898d9027ffff,Travis
556,894898d902bffff,Travis
557,894898d902fffff,Travis
558,894898d9033ffff,Travis
559,894898d9037ffff,Travis
560,894898d903bffff,Travis
561,894898d9043ffff,Travis
562,894898d9047ffff,Travis
563,894898d904bffff,Travis
564,894898d904fffff,Travis
565,894898d9053ffff,Travis
566,894898d9057ffff,Travis
567,894898d905bffff,Travis
568,894898d9063ffff,Travis
569,894898d9067ffff,Travis
570,894898d906bffff,Travis
571,894898d906fffff,Travis
572,894898d9073ffff,Travis
573,894898d9077ffff,Travis
574,894898d907bffff,Travis
575,894898d9083ffff,Travis
576,894898d9087ffff,Travis
577,894898d908bffff,Travis
578,894898d908fffff,Travis
579,894898d9093ffff,Travis
580,894898d9097ffff,Travis
581,894898d909bffff,Travis
582,894898d90a3ffff,Travis
583,894898d90a7ffff,Travis
584,894898d90abffff,Travis
585,894898d90afffff,Travis
586,894898d90b3ffff,Travis
587,894898d90b7ffff,Travis
588,894898d90bbffff,Travis
589,894898d90c3ffff,Travis
590,894898d90c7ffff,Travis
591,894898d90cbffff,Travis
592,894898d90cfffff,Travis
593,894898d90d3ffff,Travis
594,894898d90d7ffff,Travis
595,894898d90dbffff,Travis
596,894898d9103ffff,Travis
597,894898d9107ffff,Travis
598,894898d910bffff,Travis
599,894898d910fffff,Travis
600,894898d9113ffff,Travis
601,894898d9117ffff,Travis
602,894898d911bffff,Travis
603,894898d9123ffff,Travis
604,894898d9127ffff,Travis
605,894898d912bffff,Travis
606,894898d912fffff,Travis
607,894898d9133ffff,Travis
608,894898d9137ffff,Travis
609,894898d913bffff,Travis
610,894898d9143ffff,Travis
611,894898d9147ffff,Travis
612,894898d914bffff,Travis
613,894898d914fffff,Travis
614,894898d9153ffff,Travis
615,894898d9157ffff,Travis
616,894898d915bffff,Travis
617,894898d9163ffff,Travis
618,894898d9167ffff,Travis
619,894898d916bffff,Travis
620,894898d916fffff,Travis
621,894898d9173ffff,Travis
622,894898d9177ffff,Travis
623,894898d917bffff,Travis
624,894898d918bffff,Travis
625,894898d91a3ffff,Travis
626,894898d91a7ffff,Travis
627,894898d91abffff,Travis
628,894898d91afffff,Travis
629,894898d91c3ffff,Travis
630,894898d91c7ffff,Travis
631,894898d91cbffff,Travis
632,894898d91cfffff,Travis
633,894898d91d3ffff,Travis
634,894898d91d7ffff,Travis
635,894898d91dbffff,Travis
636,894898d9203ffff,Travis
637,894898d9207ffff,Travis
638,894898d920bffff,Travis
639,894898d920fffff,Travis
640,894898d9213ffff,Travis
641,894898d9217ffff,Travis
642,894898d921bffff,Travis
643,894898d9223ffff,Travis
644,894898d9227ffff,Travis
645,894898d922bffff,Travis
646,894898d922fffff,Travis
647,894898d9233ffff,Travis
648,894898d9237ffff,Travis
649,894898d923bffff,Travis
650,894898d9243ffff,Travis
651,894898d9247ffff,Travis
652,894898d924bffff,Travis
653,894898d924fffff,Travis
654,894898d9253ffff,Travis
655,894898d9257ffff,Travis
656,894898d925bffff,Travis
657,894898d9263ffff,Travis
658,894898d9267ffff,Travis
659,894898d926bffff,Travis
660,894898d926fffff,Travis
661,894898d9273ffff,Travis
662,894898d9277ffff,Travis
663,894898d927bffff,Travis
664,894898d9283ffff,Travis
665,894898d9287ffff,Travis
666,894898d928bffff,Travis
667,894898d928fffff,Travis
668,894898d9293ffff,Travis
669,894898d9297ffff,Travis
670,894898d929bffff,Travis
671,894898d92a3ffff,Travis
672,894898d92a7ffff,Travis
673,894898d92abffff,Travis
674,894898d92afffff,Travis
675,894898d92b3ffff,Travis
676,894898d92b7ffff,Travis
677,894898d92bbffff,Travis
678,894898d92c3ffff,Travis
679,894898d92c7ffff,Travis
680,894898d92cbffff,Travis
681,894898d92cfffff,Travis
682,894898d92d3ffff,Travis
683,894898d92d7ffff,Travis
684,894898d92dbffff,Travis
685,894898d9303ffff,Travis
686,894898d9307ffff,Travis
687,894898d930bffff,Travis
688,894898d930fffff,Travis
689,894898d9313ffff,Travis
690,894898d9317ffff,Travis
691,894898d931bffff,Travis
692,894898d9323ffff,Travis
693,894898d9327ffff,Travis
694,894898d932bffff,Travis
695,894898d932fffff,Travis
696,894898d9333ffff,Travis
697,894898d9337ffff,Travis
698,894898d933bffff,Travis
699,894898d9343ffff,Travis
700,894898d9347ffff,Travis
701,894898d934bffff,Travis
702,894898d934fffff,Travis
703,894898d9353ffff,Travis
704,894898d9357ffff,Travis
705,894898d935bffff,Travis
706,894898d9363ffff,Travis
707,894898d9367ffff,Travis
708,894898d936bffff,Travis
709,894898d936fffff,Travis
710,894898d9373ffff,Travis
711,894898d9377ffff,Travis
712,894898d937bffff,Travis
713,894898d9383ffff,Travis
714,894898d9387ffff,Travis
715,894898d938bffff,Travis
716,894898d938fffff,Travis
717,894898d9393ffff,Travis
718,894898d9397ffff,Travis
719,894898d939bffff,Travis
720,894898d93a3ffff,Travis
721,894898d93a7ffff,Travis
722,894898d93abffff,Travis
723,894898d93afffff,Travis
724,894898d93b3ffff,Travis
725,894898d93b7ffff,Travis
726,894898d93bbffff,Travis
727,894898d93c3ffff,Travis
728,894898d93c7ffff,Travis
729,894898d93cbffff,Travis
730,894898d93cfffff,Travis
731,894898d93d3ffff,Travis
732,894898d93d7ffff,Travis
733,894898d93dbffff,Travis
734,894898d9403ffff,Travis
735,894898d9407ffff,Travis
736,894898d940bffff,Travis
737,894898d940fffff,Travis
738,894898d9413ffff,Travis
739,894898d9417ffff,Travis
740,894898d941bffff,Travis
741,894898d9423ffff,Travis
742,894898d9427ffff,Travis
743,894898d942bffff,Travis
744,894898d942fffff,Travis
745,894898d9433ffff,Travis
746,894898d9437ffff,Travis
747,894898d943bffff,Travis
748,894898d9443ffff,Travis
749,894898d9447ffff,Travis
750,894898d944bffff,Travis
751,894898d944fffff,Travis
752,894898d9453ffff,Travis
753,894898d9457ffff,Travis
754,894898d945bffff,Travis
755,894898d9463ffff,Travis
756,894898d9467ffff,Travis
757,894898d946bffff,Travis
758,894898d946fffff,Travis
759,894898d9473ffff,Travis
760,894898d9477ffff,Travis
761,894898d947bffff,Travis
762,894898d9483ffff,Travis
763,894898d9487ffff,Travis
764,894898d948bffff,Travis
765,894898d948fffff,Travis
766,894898d9493ffff,Travis
767,894898d9497ffff,Travis
768,894898d949bffff,Travis
769,894898d94a3ffff,Travis
770,894898d94a7ffff,Travis
771,894898d94abffff,Travis
772,894898d94afffff,Travis
773,894898d94b3ffff,Travis
774,894898d94b7ffff,Travis
775,894898d94bbffff,Travis
776,894898d94c3ffff,Travis
777,894898d94c7ffff,Travis
778,894898d94cbffff,Travis
779,894898d94cfffff,Travis
780,894898d94d3ffff,Travis
781,894898d94d7ffff,Travis
782,894898d94dbffff,Travis
783,894898d950bffff,Travis
784,894898d950fffff,Travis
785,894898d9543ffff,Travis
786,894898d9547ffff,Travis
787,894898d954bffff,Travis
788,894898d954fffff,Travis
789,894898d9553ffff,Travis
790,894898d9557ffff,Travis
791,894898d955bffff,Travis
792,894898d9563ffff,Travis
793,894898d956bffff,Travis
794,894898d956fffff,Travis
795,894898d9573ffff,Travis
796,894898d9577ffff,Travis
797,894898d957bffff,Travis
798,894898d9593ffff,Travis
799,894898d95cbffff,Travis
800,894898d95d3ffff,Travis
801,894898d95dbffff,Travis
802,894898d9603ffff,Travis
803,894898d9607ffff,Travis
804,894898d960bffff,Travis
805,894898d960fffff,Travis
806,894898d9613ffff,Travis
807,894898d9617ffff,Travis
808,894898d961bffff,Travis
809,894898d9623ffff,Travis
810,894898d9627ffff,Travis
811,894898d962bffff,Travis
812,894898d962fffff,Travis
813,894898d9633ffff,Travis
814,894898d9637ffff,Travis
815,894898d963bffff,Travis
816,894898d9643ffff,Travis
817,894898d9647ffff,Travis
818,894898d964bffff,Travis
819,894898d964fffff,Travis
820,894898d9653ffff,Travis
821,894898d9657ffff,Travis
822,894898d965bffff,Travis
823,894898d9663ffff,Travis
824,894898d9667ffff,Travis
825,894898d966bffff,Travis
826,894898d966fffff,Travis
827,894898d9673ffff,Travis
828,894898d9677ffff,Travis
829,894898d967bffff,Travis
830,894898d9683ffff,Travis
831,894898d9687ffff,Travis
832,894898d968bffff,Travis
833,894898d968fffff,Travis
834,894898d9693ffff,Travis
835,894898d9697ffff,Travis
836,894898d969bffff,Travis
837,894898d96a3ffff,Travis
838,894898d96a7ffff,Travis
839,894898d96abffff,Travis
840,894898d96afffff,Travis
841,894898d96b3ffff,Travis
842,894898d96b7ffff,Travis
843,894898d96bbffff,Travis
844,894898d96c3ffff,Travis
845,894898d96c7ffff,Travis
846,894898d96cbffff,Travis
847,894898d96cfffff,Travis
848,894898d96d3ffff,Travis
849,894898d96d7ffff,Travis
850,894898d96dbffff,Travis
851,894898d9803ffff,Travis
852,894898d9807ffff,Travis
853,894898d980bffff,Travis
854,894898d980fffff,Travis
855,894898d9813ffff,Travis
856,894898d981bffff,Travis
857,894898d9823ffff,Travis
858,894898d982bffff,Travis
859,894898d982fffff,Travis
860,894898d9833ffff,Travis
861,894898d983bffff,Travis
862,894898d9843ffff,Travis
863,894898d9847ffff,Travis
864,894898d984bffff,Travis
865,894898d984fffff,Travis
866,894898d9853ffff,Travis
867,894898d9857ffff,Travis
868,894898d985bffff,Travis
869,894898d9863ffff,Travis
870,894898d9867ffff,Travis
871,894898d986bffff,Travis
872,894898d986fffff,Travis
873,894898d9873ffff,Travis
874,894898d9877ffff,Travis
875,894898d987bffff,Travis
876,894898d98c3ffff,Travis
877,894898d98c7ffff,Travis
878,894898d98cbffff,Travis
879,894898d98cfffff,Travis
880,894898d98d3ffff,Travis
881,894898d98d7ffff,Travis
882,894898d98dbffff,Travis
883,894898d9a07ffff,Travis
884,894898d9a17ffff,Travis
885,894898d9a23ffff,Travis
886,894898d9a27ffff,Travis
887,894898d9a2bffff,Travis
888,894898d9a2fffff,Travis
889,894898d9a33ffff,Travis
890,894898d9a37ffff,Travis
891,894898d9a83ffff,Travis
892,894898d9a87ffff,Travis
893,894898d9a8fffff,Travis
894,894898d9a93ffff,Travis
895,894898d9a97ffff,Travis
896,894898d9a9bffff,Travis
897,894898d9aa3ffff,Travis
898,894898d9aa7ffff,Travis
899,894898d9aabffff,Travis
900,894898d9aafffff,Travis
901,894898d9ab3ffff,Travis
902,894898d9ab7ffff,Travis
903,894898d9abbffff,Travis
904,894898d9b03ffff,Travis
905,894898d9b07ffff,Travis
906,894898d9b0bffff,Travis
907,894898d9b0fffff,Travis
908,894898d9b13ffff,Travis
909,894898d9b17ffff,Travis
910,894898d9b1bffff,Travis
911,894898d9b2bffff,Travis
912,894898d9b3bffff,Travis
913,894898d9b47ffff,Travis
914,894898d9b5bffff,Travis
915,894898d9b73ffff,Travis
916,894898d9b77ffff,Travis
917,894898d9b83ffff,Travis
918,894898d9b87ffff,Travis
919,894898d9b8bffff,Travis
920,894898d9b8fffff,Travis
921,894898d9b93ffff,Travis
922,894898d9b97ffff,Travis
923,894898d9b9bffff,Travis
924,894898d9bbbffff,Travis
925,894898d9bc3ffff,Travis
926,894898d9bc7ffff,Travis
927,894898d9bcbffff,Travis
928,894898d9bd3ffff,Travis
